BASE_ID,avg_SAND,avg_SILT,avg_CLAY,LPSA_texture_status,lab_texture_class
250406,39.900000000000006,7.349999999999998,52.75,ALL_CLASS_AGREE,C
250407,78.6,12.219999999999999,9.18,ALL_CLASS_AGREE,SL
250408,58.75,13.85,27.4,ALL_CLASS_AGREE,SCL
250409,50.3,13.5,36.2,ALL_CLASS_AGREE,SC
250410,47,9.8,43.2,ALL_CLASS_AGREE,SC
250411,54.45,8.999999999999996,36.55,ALL_CLASS_AGREE,SC
250412,86.95,7.919999999999997,5.13,ALL_CLASS_AGREE,LS
250417,90.15,4.270000000000001,5.58,ALL_CLASS_AGREE,S
250418,69.5,17.450000000000003,13.05,ALL_CLASS_AGREE,SL
250419,91,2.8449999999999998,6.155,ALL_CLASS_AGREE,S
250420,82,11.62,6.380000000000001,ALL_CLASS_AGREE,LS
250424,64.1,10.249999999999998,25.65,ALL_CLASS_AGREE,SCL
250425,63.9,10.100000000000001,26,ALL_CLASS_AGREE,SCL
250426,63.25,7.75,29,ALL_CLASS_AGREE,SCL
250427,81.5,11.435,7.0649999999999995,ALL_CLASS_AGREE,LS
250428,71.05,13.550000000000004,15.399999999999999,ALL_CLASS_AGREE,SL
250429,60.5,10.850000000000001,28.65,ALL_CLASS_AGREE,SCL
250431,85.19999999999999,8.370000000000005,6.43,ALL_CLASS_AGREE,LS
250432,85.4,8.034999999999995,6.5649999999999995,ALL_CLASS_AGREE,LS
250437,84.1,10.329999999999998,5.57,ALL_CLASS_AGREE,LS
250439,72.75,13.05,14.2,ALL_CLASS_AGREE,SL
250442,84.30000000000001,9.459999999999997,6.24,ALL_CLASS_AGREE,LS
250445,25.35,3.5,71.15,ALL_CLASS_AGREE,C
250448,92,2.825,5.175,ALL_CLASS_AGREE,S
250450,19.75,2.25,78,ALL_CLASS_AGREE,C
250451,85.15,9.555000000000001,5.295,ALL_CLASS_AGREE,LS
250452,84.30000000000001,10.119999999999996,5.58,ALL_CLASS_AGREE,LS
250453,81.75,11.149999999999999,7.1,ALL_CLASS_AGREE,LS
250455,82.15,11.275000000000002,6.575,ALL_CLASS_AGREE,LS
250456,85.75,9.12,5.130000000000001,ALL_CLASS_AGREE,LS
250458,81.9,9.515,8.585,ALL_CLASS_AGREE,LS
250459,87.55,7.765000000000002,4.6850000000000005,ALL_CLASS_AGREE,S
250461,75,12,13,ALL_CLASS_AGREE,SL
250463,84.69999999999999,9.950000000000005,5.35,ALL_CLASS_AGREE,LS
250464,71.85,14.599999999999998,13.55,ALL_CLASS_AGREE,SL
250465,59.5,13.65,26.85,ALL_CLASS_AGREE,SCL
250467,26.85,3.950000000000003,69.19999999999999,ALL_CLASS_AGREE,C
250470,75.05000000000001,12.249999999999996,12.7,ALL_CLASS_AGREE,SL
250473,62.55,16.300000000000004,21.15,ALL_CLASS_AGREE,SCL
250474,50.75,17.2,32.05,ALL_CLASS_AGREE,SCL
250477,24.95,5.599999999999994,69.45,ALL_CLASS_AGREE,C
250478,23.950000000000003,4.550000000000004,71.5,ALL_CLASS_AGREE,C
250479,83.15,10.935000000000002,5.915,ALL_CLASS_AGREE,LS
250482,27.35,5,67.65,ALL_CLASS_AGREE,C
250483,26,4,70,ALL_CLASS_AGREE,C
250484,87.55000000000001,7.854999999999995,4.595000000000001,ALL_CLASS_AGREE,S
250485,84.45,8.824999999999996,6.725,ALL_CLASS_AGREE,LS
250486,82.1,10.974999999999998,6.925,ALL_CLASS_AGREE,LS
250488,89.8,5.845000000000002,4.355,ALL_CLASS_AGREE,S
250492,24.25,2.75,73,ALL_CLASS_AGREE,C
250493,82.7,10.844999999999997,6.455,ALL_CLASS_AGREE,LS
250497,27.35,3.5500000000000043,69.1,ALL_CLASS_AGREE,C
250499,74.95,11.549999999999997,13.5,ALL_CLASS_AGREE,SL
250500,72.44999999999999,11.700000000000005,15.85,ALL_CLASS_AGREE,SL
250502,65.4,8.900000000000002,25.7,ALL_CLASS_AGREE,SCL
250503,83.95,6.874999999999997,9.175,ALL_CLASS_AGREE,LS
250504,48.1,8.25,43.65,ALL_CLASS_AGREE,SC
250508,83.15,9.260000000000002,7.59,ALL_CLASS_AGREE,LS
250511,26.200000000000003,3.6000000000000014,70.2,ALL_CLASS_AGREE,C
250512,85.69999999999999,9.085000000000004,5.215,ALL_CLASS_AGREE,LS
250517,87.45,7.904999999999998,4.645,ALL_CLASS_AGREE,S
250518,59.65,11.950000000000003,28.4,ALL_CLASS_AGREE,SCL
250522,84.9,8.430000000000001,6.67,ALL_CLASS_AGREE,LS
250523,75.7,9.999999999999998,14.299999999999999,ALL_CLASS_AGREE,SL
250525,32.25,5.299999999999997,62.45,ALL_CLASS_AGREE,C
250526,31.200000000000003,3.6000000000000014,65.19999999999999,ALL_CLASS_AGREE,C
240337,69.55,12.150000000000002,18.3,CLASS_OK,SL
230061,84.45,9.104999999999997,6.445,CLASS_OK,LS
230062,48.2,10.900000000000002,40.9,CLASS_OK,SC
240362,40.25,4.399999999999999,55.35,CLASS_OK,C
250219,81.19999999999999,7.835000000000004,10.965,CLASS_OK,LS
250266,63.35,13.249999999999998,23.4,CLASS_OK,SCL
250317,40.5,9.700000000000003,49.8,CLASS_OK,C
250413,66.95,12.149999999999997,20.9,CLASS_OK,SCL
250468,87.9,7.580000000000002,4.52,CLASS_OK,S
250510,29,7.699999999999999,63.3,CLASS_OK,C
240332,80.85,11.069999999999999,8.08,CLASS_OK,LS
250197,82.45,10.904999999999998,6.645,CLASS_OK,LS
250206,70.05000000000001,16.049999999999997,13.899999999999999,CLASS_OK,SL
250212,48.85,8.899999999999999,42.25,CLASS_OK,SC
250221,85.65,6.475000000000001,7.875,CLASS_OK,LS
250230,40.5,9.799999999999997,49.7,CLASS_OK,C
250231,35.6,36.05,28.35,CLASS_OK,ClLo
250241,60.35,12.449999999999998,27.200000000000003,CLASS_OK,SCL
250245,28.2,9.5,62.3,CLASS_OK,C
250255,43.25,13.100000000000001,43.65,CLASS_OK,C
250259,85.6,6.949999999999998,7.45,CLASS_OK,LS
250267,50.9,10.55,38.55,CLASS_OK,SC
250273,70.35,12.899999999999999,16.75,CLASS_OK,SL
250313,66.15,12.749999999999995,21.1,CLASS_OK,SCL
250388,45.65,7.050000000000001,47.3,CLASS_OK,SC
250416,64.25,8.2,27.55,CLASS_OK,SCL
250421,81.7,9.179999999999996,9.120000000000001,CLASS_OK,LS
250423,76.85,9.849999999999998,13.3,CLASS_OK,SL
250430,66.5,9,24.5,CLASS_OK,SCL
250433,70.6,12.1,17.299999999999997,CLASS_OK,SL
250434,50,9.45,40.55,CLASS_OK,SC
250435,52.599999999999994,8.8,38.6,CLASS_OK,SC
250436,52.6,6.899999999999999,40.5,CLASS_OK,SC
250438,67.05000000000001,16.449999999999996,16.5,CLASS_OK,SL
250443,83.55,8.280000000000003,8.17,CLASS_OK,LS
250447,78.44999999999999,9.150000000000006,12.399999999999999,CLASS_OK,SL
250462,72.25,10.45,17.3,CLASS_OK,SL
250469,76.7,11.399999999999997,11.9,CLASS_OK,SL
250471,65.7,8.849999999999998,25.45,CLASS_OK,SCL
250472,78.55,8.150000000000002,13.3,CLASS_OK,SL
250481,30.7,10.299999999999997,59,CLASS_OK,C
250490,49.25,10.8,39.95,CLASS_OK,SC
250495,51.6,10.899999999999999,37.5,CLASS_OK,SC
250501,75.44999999999999,10.850000000000005,13.7,CLASS_OK,SL
250505,57,9.05,33.95,CLASS_OK,SCL
250506,59.05,8.799999999999997,32.150000000000006,CLASS_OK,SCL
250507,65.1,6.399999999999999,28.5,CLASS_OK,SCL
250513,61.85,13.599999999999998,24.55,CLASS_OK,SCL
250514,75.5,12.4,12.1,CLASS_OK,SL
250516,78.85,8.95,12.2,CLASS_OK,SL
250524,54.6,10.100000000000001,35.3,CLASS_OK,SC
250210,77.55,9.520000000000003,12.93,FAILED,SL
250232,35.7,20.699999999999996,43.6,FAILED,C
250480,54.55,12.7,32.75,FAILED,SCL
250274,51.3,10.649999999999999,38.05,FAILED,SC
250414,67.5,12.049999999999999,20.450000000000003,FAILED,SCL
250415,55.2,7.9,36.9,FAILED,SC
250466,61.2,14.05,24.75,FAILED,SCL
250494,55.099999999999994,12.950000000000001,31.950000000000003,FAILED,SCL
250237,NA,NA,NA,ONLY_ONE_SAMPLE,NA
250239,NA,NA,NA,ONLY_ONE_SAMPLE,NA
250278,NA,NA,NA,ONLY_ONE_SAMPLE,NA
250519,NA,NA,NA,ONLY_ONE_SAMPLE,NA
250521,NA,NA,NA,ONLY_ONE_SAMPLE,NA
251510,NA,NA,NA,ONLY_ONE_SAMPLE,NA
250515,70.05,10.050000000000002,19.9,RESCUED_5PCT,SL
240344,67.65,10.550000000000002,21.799999999999997,RESCUED_5PCT,SCL
240345,71.3,9.250000000000002,19.450000000000003,RESCUED_5PCT,SL
240349,79.19999999999999,11.555000000000003,9.245000000000001,RESCUED_5PCT,SL
250201,79.2,12.734999999999996,8.065000000000001,RESCUED_5PCT,LS
250211,43.9,10.150000000000002,45.95,RESCUED_5PCT,C
250215,74.05000000000001,6.399999999999995,19.55,RESCUED_5PCT,SL
250217,88.1,5.640000000000006,6.26,RESCUED_5PCT,LS
250218,44.6,7.449999999999999,47.95,RESCUED_5PCT,C
250226,88.05,6.005000000000003,5.945,RESCUED_5PCT,S
250270,77.85,14.279999999999998,7.869999999999999,RESCUED_5PCT,SL
250271,76.65,14.745000000000001,8.605,RESCUED_5PCT,SL
250314,70.1,10.799999999999999,19.1,RESCUED_5PCT,SL
250316,45.05,11.000000000000004,43.95,RESCUED_5PCT,SC
250324,87.95,6.729999999999997,5.32,RESCUED_5PCT,S
250326,57.6,8.699999999999998,33.7,RESCUED_5PCT,SCL
250368,44.55,7.800000000000001,47.65,RESCUED_5PCT,C
250384,87.35,7.925000000000005,4.725,RESCUED_5PCT,LS
250392,44.25,10.25,45.5,RESCUED_5PCT,C
250404,45.7,11.45,42.85,RESCUED_5PCT,SC
250422,86.4,7.664999999999994,5.9350000000000005,RESCUED_5PCT,LS
250440,77.9,12.030000000000001,10.07,RESCUED_5PCT,SL
250441,77.85,12.004999999999999,10.145,RESCUED_5PCT,SL
250454,80.35,11.864999999999998,7.785,RESCUED_5PCT,LS
250457,80.30000000000001,10.724999999999994,8.975,RESCUED_5PCT,LS
250460,79.35,12.219999999999999,8.43,RESCUED_5PCT,LS
250487,86.5,8.055,5.445,RESCUED_5PCT,LS
250489,86.6,7.879999999999999,5.52,RESCUED_5PCT,LS
250498,87.3,7.860000000000003,4.84,RESCUED_5PCT,LS
